Name,Title,aiconalt,View,State,View1,asizebase
Reginald adams,Kick-ass mixie !,3.0 out of 5 stars,"Reviewed in India on June 16, 2021",Verified Purchase,"Writing this review after a month of use,the mixie is a value for money ,found it to be quite robust in built and use .although finish could have been better ,the plastic cover ,on top of the main motor unit is flimsy ,otherwise it's a fill it and forget it kind of mixie ,specially suitable to Indian style of cooking .",
Amazon Customer,Mothers will love it,5.0 out of 5 stars,"Reviewed in India on April 11, 2021",Verified Purchase,I got it for our home. And everytime my mother uses it she thanks me. She is so happy with it. Infact she has stopped buying outside masales. She grinds in them at home using this mixture. It grinds really fine.,
Parikshit Bhandekar,Iss se badhiya mixxer nahi aata,5.0 out of 5 stars,"Reviewed in India on February 1, 2022",Verified Purchase,It stands firm to the word uttered in the tv commercial. Very capable and superb quality product.,
Linges,Perfect one,5.0 out of 5 stars,"Reviewed in India on November 13, 2021",Verified Purchase,"Good to use. Jar quality and jar locks are too good. Noise level quit high. But compare to the performance, noise doesn't matter.",
Amazon Customer,Excellent,5.0 out of 5 stars,"Reviewed in India on February 5, 2022",Verified Purchase,"Waited for 1 year to make a decision, finally gone for sujata brand, super machine, less noise nd powerful, loved idli nd dossa batter y'day.",
Anand K. Bhargava,Best grinder ever,5.0 out of 5 stars,"Reviewed in India on November 9, 2019",Verified Purchase,"Never dislike this product, I'm using the same mixie for the last 25 years without any problem. Best grinder ever I have to recommend to anyone.",One person found this helpful
Sabir Alex,Very good,5.0 out of 5 stars,"Reviewed in India on June 20, 2021",Verified Purchase,This is really very good... I am impressed...,One person found this helpful
Mriddula,Best in its genre!,5.0 out of 5 stars,"Reviewed in India on May 30, 2021",Verified Purchase,The best in its genre! Very very sturdy! Good power! I have been using the brand for years. Absolutely no problems!,
Harinakshi Suvarna,The best I have used so far.,5.0 out of 5 stars,"Reviewed in India on April 10, 2022",Verified Purchase,"The locking mechanism is made up of steel so it doesn't wear out

Just one cons
There is no child lock
so even if there is no mixer attached or you keep the mixer open and turn the knob the mixer will start",
Vasudeva Govindraju,Best ever gift...,5.0 out of 5 stars,"Reviewed in India on October 28, 2020",Verified Purchase,"Best ever Indian kitchen appliance I have gifted to my mother,she is super happy,keeps praising endless...as I see solid build quality, premium product...",
Naveen,"Top class, excellent, super",5.0 out of 5 stars,"Reviewed in India on December 23, 2021",Verified Purchase,"Reviewing after a month. Excellent machine, super speed. No juicer jar, they should have included juicer jar too .",
Shyam,Great mixer grinder,5.0 out of 5 stars,"Reviewed in India on July 5, 2019",Verified Purchase,"Fantastic product, very powerful, minimal noise, we mainly use for dosa rice grinding, does the job superbly. The body and especially the jars seem very durable.
This review is after using the product for 2 months, would recommend it to everyone.",One person found this helpful
Mukul,Superb but whipping button stopped working,4.0 out of 5 stars,"Reviewed in India on March 3, 2021",Verified Purchase,Product is nice.. Gri ding is done very well but whipping button has stopped working after 6months of use. Trying to contact customer care. Then will update if the repair is done as product is in warranty period.,
shobhit,Practicle Powerful Daily Utility Kitchen Mixer Grinder,5.0 out of 5 stars,"Reviewed in India on November 25, 2020",Verified Purchase,Good Practicle Mixer Grinder. Grinds most kitchen requirements without fuss compared to my old mixers. So far very good experience compared to my old grumpy mixer grinders i bought in the past. Happy that i went for Sujata this time,
G,Good Mixer for Home,5.0 out of 5 stars,"Reviewed in India on January 29, 2020",Verified Purchase,Much better than  my earlier Philips mixie for both wet and dry  grinding. Need to wait and see the long term durability of the jars.,One person found this helpful
Kshitij,Worst quality product-bigger jar (1.5 lits) leaking,1.0 out of 5 stars,"Reviewed in India on November 8, 2019",Verified Purchase,"""Worst quality product"" that I have ever received from Amazon
Place a call for replacement as it's bigger jar (1.5 lits) leaking from its bottom side they replied that we don't have option for replacement of this product,else the product is good.
It will be appreciated if I would get replacement.",
RAVI AGRAWAL,Price is not genuine,4.0 out of 5 stars,"Reviewed in India on October 13, 2019",Verified Purchase,Somewhat disappointed after placing order. Price is varying like anything. Now available at 4300. Bought at 4600. This is not good. Though the product seems durable and reviews are very good about the product.,
Abilash Theruvin Purayil,"Team Sujata, PLEASE CONCENTRATE MORE ON THE PRE DELIVERY QUALITY CHECK",2.0 out of 5 stars,"Reviewed in India on February 26, 2021",Verified Purchase,There are multiple cracks and dents found. Ordered a replacement.,One person found this helpful
Yogesh K Agraawal,Sujata is nice in mixer,5.0 out of 5 stars,"Reviewed in India on February 1, 2022",Verified Purchase,Really good and easy to handle the product. my family is happy to use this product.,
Prasad,Quality control is missing.,1.0 out of 5 stars,"Reviewed in India on December 7, 2021",Verified Purchase,"Same problem I have seen as 1st review video of Atul posted in Aug 2020. Same problem, jar lock os loose & not fixed which cant hold jar. No quality check & not expected for such expensive product in market.",
syamala,Go for it👍,5.0 out of 5 stars,"Reviewed in India on October 8, 2019",Verified Purchase,Since motor capacity is 900w....wonderful grinding. I find idli dosa batter very fluffu n fine ground. Small chutney jar is really cute n handy.,One person found this helpful
