Name,Title,aiconalt,View,State,View1,asizebase
San Sun,Good product,5.0 out of 5 stars,"Reviewed in India on March 23, 2019",Verified Purchase,"Small size, easy to use...
Noise level is moderate...
Vessels are leak proof...
Easy to clean and handle because of small and compact design... Takes small space to store.
This is my second purchase. First in January 2019 and now again in June 2021. Best product.
Go for it....",
Biswajit P.,Good quality product by Bajaj,5.0 out of 5 stars,"Reviewed in India on December 19, 2018",Verified Purchase,"The product is very useful to grind dry and wet, useful to make wet rice grind for dhosa, product has 4 different modes. One good thing is reset option to restart the product in case of overload, to prevent the motor from harm. Jars made by steel and capacity as same as described in website, delivered in time by Amazon",
Steffy,Grinding at its best!,5.0 out of 5 stars,"Reviewed in India on July 21, 2021",Verified Purchase,"Used the product for 2 weeks continually everyday while cooking.
The grinder Is perfect and comfortable to use.
The blades are sharp enough. Which saves alot of time while cooking.
Easy to clean and use.
Noise level is bearable but could be better.
Lock feature is definitely the best part of the grinder.
The price of the product is worth it.
Highly recommended!",
HARI NARAYAN TIWARI,About Product,3.0 out of 5 stars,"Reviewed in India on June 7, 2019",Verified Purchase,"It is very helpful to me but I suggest you to buy more power mixer because it can't grind the pulses and other it all ok . It is too cheap and very good product . This product is very appreciatable .
If want low power mixer than it is best for you . It contain three jars which help you to grind items at an times .
Thank you",One person found this helpful
Amazon_customer,Stopped working in 10 Days .Worst mixer grinder 🥶☠,1.0 out of 5 stars,"Reviewed in India on December 11, 2020",Verified Purchase,"Don't buy this mixer grinder
It has a low quality motor stopped working in 10 days after 3 times use ( I grinded chatni 3 times ) .Worst product so I had returned .

Check the return Policy",
Mohan Jhangra,"Don't purchase, World's no. 1 worst product",1.0 out of 5 stars,"Reviewed in India on February 14, 2021",Verified Purchase,"It's my humble request to all, Please don't purchase this Mixer Grinder, it's better to purchase local brand as it will work more efficiently then this so called Bajaj Brand Mixer grinder.
#liyatipachtaogay",
Ravi,Rex.. noisy but a decent blender,3.0 out of 5 stars,"Reviewed in India on October 29, 2020",Verified Purchase,"Firstly it is very noisy when compared to my prior butterfly and preethi mixies.
Next is the grind.. I bought this as additional one for small jar only.. the blending is fine.. I am happy about the grinding.
The jars finishing could have been taken care as they are sharp and while washing or removing the lid after blend could cut.
There are no jar locks so we manually have to hold them.",
Azhar,Best products in this price range,5.0 out of 5 stars,"Reviewed in India on January 27, 2020",Verified Purchase,"Here my Honest reviews :
✔Delivering process so fast💯
✔Build quality 💯
✔Stylish💯
✔Grinding 💯
✔ Electric requirement💯

❌ Motor is 500 watt which is not good for grinding some heavy items
❌ There is no Juicing jar
❌ Noise

I got it in rs 1800 which is suitable price for this product.. So go for it without hesitation.",One person found this helpful
Naz,What about warranty?,3.0 out of 5 stars,"Reviewed in India on October 31, 2020",Verified Purchase,I have received the product with warranty card but as per warranty this warranty is not applicable in case of the warranty card is not dully filled by the selling dealer. Please send a valid warranty card.,One person found this helpful
HK,High noise unsafe,1.0 out of 5 stars,"Reviewed in India on August 17, 2021",Verified Purchase,"I have never expected a product this worst from bajaj. Extremely disappointed. I have seen reviews though trusted the brand. Not grinding properly, high noise, jars getting heat after 2 minutes of grinding which we should worry about. Not safe.",
Krishna KK,Go for it if you are short on budget,2.0 out of 5 stars,"Reviewed in India on January 27, 2021",Verified Purchase,This is an average product. The blades are not very sharp and you would need to run the mixer for a long time. Then the jar would jam because of heat and you have to wait for some time to remove the jar. So unless you are short on a budget do not go for this.,
Dr. T,Ok product,4.0 out of 5 stars,"Reviewed in India on September 1, 2021",Verified Purchase,"Delivered fast,
Packaging good,
Product working fine.
I ordered 500w for a bachelor, if you are a family try to go for 750 w more watt.",
Akshat Priyadarshan,Does the job !!,3.0 out of 5 stars,"Reviewed in India on January 19, 2021",Verified Purchase,"Not very good in making any shake, pieces of fruits are always left in big chunk irrespective of how long you run.
Jars are too broad at bottom which doesn't allow the fruits to be correctly mashed. Tried making shake in medium jar as well, same results.
Overall product is ok.",
smriti tripathi,Please do not buy,2.0 out of 5 stars,"Reviewed in India on January 16, 2019",Verified Purchase,"The item looks quite cheap, the blades are not sharp enough and/or the motor is not powerful enough! It could not even blend boiled tomatoes for soup properly. Returned it. The plastic and the rubber both have a cheap quality feel. Better to invest some more more money and get a Philips one.",
A prime Customer,Good Mixer / grinder at this price...,4.0 out of 5 stars,"Reviewed in India on August 12, 2020",Verified Purchase,"Good Mixser at this price...

However; the Mixer jar should have been bigger.
Secondly, the blade unit of medium Grinder jar broke (In hardly few month of usage) and also the jar gets stuck in the mixer lock.",
Dr Siddhartha Basu,Unusual Cracking Noise in use !,3.0 out of 5 stars,"Reviewed in India on August 28, 2020",Verified Purchase,Video Player is loading.,
Mukesh Mangal,This is not perfect for the juicer,3.0 out of 5 stars,"Reviewed in India on June 17, 2022",Verified Purchase,I am using this mixer for making some gravy it’s working good but when I use the large jar for mango juice . It is failed I mean the mixer not perfectly mixed and grind the mangos. So go for better than this,
Bala,Some items missing,2.0 out of 5 stars,"Reviewed in India on August 2, 2021",Verified Purchase,Jar closing cap not provided with any of the jar and also the plastic knife type cum jar tightening blade not provided,One person found this helpful
Amazon Customer,Good product.,5.0 out of 5 stars,"Reviewed in India on September 22, 2021",Verified Purchase,"Good product, nice finish, performs very well.
However Bajaj usually get products from China and then relabels them here as made in India.
I hope this is truly made in India as label suggests.",
NAZNEEN,Jars are worst and low quality.,1.0 out of 5 stars,"Reviewed in India on September 1, 2021",Verified Purchase,"Don't buy. Jars are worst and are of low quality. Jar is getting locked in way that you need to break it, not at all smooth. Not at all elegant design, no grip and it slips. It takes a lot of effort to take out the jar from the mixer. We literally need to buy a new one to get rid of this piece. It makes a lot of noise as well. Not expected from Bajaj.",
Chintan Antani,"Good product, but stopped working in 7months!",2.0 out of 5 stars,"Reviewed in India on June 8, 2020",Verified Purchase,"The item was bought in the end of last year. And it has now stopped working.
Suddenly it just stopped working.

It has a one year warranty and I’d like to claim for the same.

Hoping for a quick resolution!
Thanks!",
Abhishek Rawool,I bought this mixer at just 1600 at Amazon great Indian sale,5.0 out of 5 stars,"Reviewed in India on April 20, 2018",Verified Purchase,I bought this mixer at just 1600 at Amazon great Indian sale. Nice product. Happy to buy it from Amazon,7 people found this helpful
Usha Sowjanya,Only use age wise good. External factors are worrying,3.0 out of 5 stars,"Reviewed in India on November 30, 2020",Verified Purchase,"Too much noise
Not staying at one place while removing the jar
Even rubber cords not holding at all
Usage is good
Able to grind the batters
Useful for grinding",
Amazonia,Bad  product . broken product,1.0 out of 5 stars,"Reviewed in India on December 21, 2020",Verified Purchase,Disappointed with bajaj product for the first time ..I trust Amazon and even bajaj is very good brand but now ..what u did u sent broken product ..I want my grinder with very good condition ..,
AJAY S.,Mixer Blades are poorly designed,1.0 out of 5 stars,"Reviewed in India on March 22, 2022",Verified Purchase,Bajaj Mixer Grinder Blades are so poorly designed that it does not grind properly. Very hard to make smoothie. Fruit lumps are found even after grinding for long time. Makes very very loud sound. Very disappointed and unhappy with this product. I strongly recommend not to buy this product.  waste of my money.,
Dharmesh A.,Bajaj Rex worst product,1.0 out of 5 stars,"Reviewed in India on February 16, 2020",Verified Purchase,"One of the worst product I have ever bought online, guyz plz don't buy this product, this product does not perform to its expectation especially when a dosa/idli batter is put for grinder the motor will keep getting off and it starts heating up....",One person found this helpful
GOUTAM DAS,"While operating it, you may feel as if someone is drilling into your home",5.0 out of 5 stars,"Reviewed in India on July 18, 2021",Verified Purchase,I have been using this mixer grinder for almost two years and then I am keeping my opinion here.I believe you will have no complaints about this grinder if you use it. I have not had any problem issue so far. Bajaj Company's REX 500 is a product of standard quality. You will not be disappointed to see its excellent work after buying it.,
NAREENA,Waste of money,1.0 out of 5 stars,"Reviewed in India on July 2, 2022",Verified Purchase,Jar got broken on the very first use poor Quality waste of my money I am going to return the product,
SC,OK purchase,3.0 out of 5 stars,"Reviewed in India on August 18, 2020",Verified Purchase,Not very happy with the purchase but it solves my purpose of grinding. Doesn't grind as fine as expected. For this price you can't expect a lot. Buy if you don't need to use it daily or make a lot of curry powders and masala grinding etc,
Asit Debnath,Don't make your buying decision based on 5 Star ratings.,2.0 out of 5 stars,"Reviewed in India on December 15, 2020",Verified Purchase,"These review is after 3 months of usage.I won't recommend it as the product is excessive noisy. Everytime I use it, I get annoyed by it's noise. Blending quality is also ok, nothing outstanding here. The only thing stand out here is its price; Its affordable and thats it. If you still want to buy it don't keep high expectations from it.",
Apeksha,Value for money..best for the price,4.0 out of 5 stars,"Reviewed in India on February 2, 2022",Verified Purchase,Writting this after using it extensively for almost 3 years.. Haven't faced any issue except for the need of replacement of chutney jar blades..which is understandable looking at my frequency of use..,One person found this helpful
Banshi,Nice product,5.0 out of 5 stars,"Reviewed in India on January 10, 2020",Verified Purchase,"I have been using it for couple of years, it still looks fresh and new, We use it for everything including spice grinding, the noise level is q little bit high but I am seeing it no hampering problem, the Jar was damaged once but the Bajaj executive replaced it at my home, I just had to call the Bajaj care.",
Amrit V.,Good Product,4.0 out of 5 stars,"Reviewed in India on May 26, 2022",Verified Purchase,Very nice machine. Easy to handle as it is lightweight. Some time its like stuck while grinding but working perfect . Long time used happy with product,
Serene Ferns,Good mixer,5.0 out of 5 stars,"Reviewed in India on July 5, 2020",Verified Purchase,"A good mixer at an economic price.  Ideal for a small family. Been using it for more than a month now, grinds well.  Far better than buying an expensive mixer. The only cons is that the mixer gets hot very fast.",One person found this helpful
pamruta,Slow and Inefficient Product,2.0 out of 5 stars,"Reviewed in India on April 2, 2019",Verified Purchase,"Takes really long time and several spins to blend even simple milkshakes properly.. tried to make oreo / kitkat milkshakes but even after several spins, there are large chunks and pieces of chocolate / biscuit in the shake.. didn't blend properly at all..",
Pooja More,Strong and Powerful!,4.0 out of 5 stars,"Reviewed in India on February 18, 2022",Verified Purchase,"Best purchase!
The trusted brand Bajaj, powerful, strong, durable, and stylish. Takes less space.
Strong rubber grip at bottom.",
Swakhar Saha,Budget wise best,5.0 out of 5 stars,"Reviewed in India on January 22, 2022",Verified Purchase,"Received in a fresh, clean pack and all the products found, were in its original form. Motor is made of copper. So, no question regarding its quality. For me, its best @ Rs 1999.",
Suryakant Chaumuwal,Super one,5.0 out of 5 stars,"Reviewed in India on July 25, 2020",Verified Purchase,"I gifted this to my sister and quick delivery made us happy. The product is really nice, does not create much noise and is easy to clean. Three jars fits everybody's requirement and all household purpose",
Rai Antriksh Kumar,Average,3.0 out of 5 stars,"Reviewed in India on December 18, 2019",Verified Purchase,"Product overall performance is good in this price range. Have to hold the lid of jar while grinding which I don’t like. Blades of jars are not very sharp.
You can get similar output on some cheaper brands as well though.
For better grinding performance you can go for Sujata",
Raja,Nothing,4.0 out of 5 stars,"Reviewed in India on December 19, 2020",Verified Purchase,This product is good for small requirements. I received the same product  with good condition. And it good for  milkshake but juice jar is not good. but I'm happy. if you want to use for home then it will be better to purchase little expensive this product is not full fill your all requirements.,
PavanKumar,Not recommended for daily home needs on long term,3.0 out of 5 stars,"Reviewed in India on June 14, 2022",Verified Purchase,"It is good in earlier to use as a bachelor,for juices and shakes on temporary basis .
When it comes to daily routine, the grinded particles are not fully crushed ,it needs 3 or more times to spin after 4 months",
Raghunath,Worth of price but for family use go for 1000 W,4.0 out of 5 stars,"Reviewed in India on December 1, 2020",Verified Purchase,"Worth for price.Yes it's usefull for small family around 2 to 3 members and we can't use it for rice grinding like hard items.mixer will heatup and sometimes it will go OFF if you are using for hard items since it's 500 W.

My suggestion is to buy more than 1000 W Mixer for family and it won't heat up quickly.",
KP Prime,Best product as brand of Bajaj,5.0 out of 5 stars,"Reviewed in India on January 19, 2019",Verified Purchase,"I received this in proper packing. Very compact design. Quality of jars are very good.It creates less sound as compare to other in this price range.

If u like my comments kindly click the 'Helpful' button below after my comment ;) Keep shopping :)",
anand kumar,Broke Jar lid Unboxed product.,1.0 out of 5 stars,"Reviewed in India on November 18, 2018",Verified Purchase,This product is waste of money. I got an unboxed item with bad packaging and a broken jar lid. The product is Amazon fullfilled but this kind of delivery is unacceptable. Plastic quality is very flimsy. Even the handle is not rounded properly. Sticking rubber at bottom seems week and can't take much movement when placed and prone to breakage. At this price getting such a low quality product. God knows about the Motor quality. Don't invest your money in this.,
Amazonian,Dissappointed,2.0 out of 5 stars,"Reviewed in India on September 28, 2019",Verified Purchase,Dissappointed with this product. Chutney maker is useless and can not make tomato paste or garlic paste without pouring lots of water and stirring many times. Looks like design fault in the blades as its not able to move the content. You have to open it two-three times and stir it and mix it again and again to make paste. Dry mixing is little better. Also steel used is paper thin.,
KC_BLR,So far so good,5.0 out of 5 stars,"Reviewed in India on January 15, 2019",Verified Purchase,"I waited 6 months to write this review as the previous brand I got, I gave great review and it lasted 6 months only.
This one is efficient, very noisy, has all yhe jars we needed, sometimes ww feel we should have gotten a more powerful motor mixi",
Buyer,Value for money,5.0 out of 5 stars,"Reviewed in India on April 18, 2019",Verified Purchase,"Received today and have to say that it looks stylish and elegant. Haven't started using yet and only checked whether it was working or not. When I switched on the mixer to, sans any jar, I felt that the noise was a bit high. All in all a perfect buy in this price range. But I was expecting 3 pin plug instead of 2 pin plug",
SAJID KHAN,Saw something found something thanks amazon,5.0 out of 5 stars,"Reviewed in India on August 7, 2020",Verified Purchase,"amazon delivery that I would say on time I had seen this on the site, it had written Bajaj Rex 500 in it. When opened from the box, only Bajaj was written, only meant that something else was shown.",2 people found this helpful
Amazon Customer,Bought it and returned it,2.0 out of 5 stars,"Reviewed in India on June 18, 2020",Verified Purchase,"Bought this for my mother. It looked nice but as it turns out , It's flimsy and broke on first use while grinding haldi. Asked for a refund which I got soon after the product was picked up from my house. happy with Amazons refund policy and return service.",
RSP,Defective Chutney jar,1.0 out of 5 stars,"Reviewed in India on March 9, 2021",Verified Purchase,Damaged screw in the chutney jar which is making unacceptable noise; surprising to receive defective product from Amazon's reputed vendor Cloudtails,
Snehal A.,Noisy but good,5.0 out of 5 stars,"Reviewed in India on September 9, 2019",Verified Purchase,"The mixer is quite noisy. Also it is only 500 watt hence we cannot grind idly dosa batter hence go for 750 Watt Mixer. it is quite difficult to grind it.
You can buy it if your budget is low and you want something good but if budget is not the criteria then please take 750 Watt mixer only it will helpful than this",One person found this helpful
Biswajit Sinha,product malfunctioning withing 2 months of purchase. Not able to avail the warranty,1.0 out of 5 stars,"Reviewed in India on January 20, 2022",Verified Purchase,"The product comes to a complete halt within 2 months of purchasing. I cannot even register this product for availing the warranty. However, it is mentioned that the product is covering 1 year of warranty.

Absolute bizarre. I would suggest not to buy any product from this seller.",
Kindle Customer,Noise,4.0 out of 5 stars,"Reviewed in India on July 2, 2022",Verified Purchase,Design needs to be further improved with respect to noise that it generates.,
Sachin P,Good product,5.0 out of 5 stars,"Reviewed in India on August 31, 2021",Verified Purchase,"The quality of the product is very good. I have been using it for few months now, little noisy but not much (tolerable).
Go for it.",
Rahul mangal,satisfying,5.0 out of 5 stars,"Reviewed in India on December 7, 2021",Verified Purchase,"We have been using bajaj's mixer from last 10 years without any problem , reason why i bought another to gift 🌼
Good one",
Hareesh T.P.,motor seems to be good but not sure on its behaviour in the long ...,2.0 out of 5 stars,"Reviewed in India on April 22, 2018",Verified Purchase,"got a broken jar base, motor seems to be good but not sure on its behaviour in the long run.",11 people found this helpful
Amz Customer,Average Product,3.0 out of 5 stars,"Reviewed in India on October 10, 2019",Verified Purchase,"Pros :
-Doesn't smell
-Heavy Duty
-Doesn't Rust
-Small and Medium size jar is good but not suitable if you want to blend in small quantities
Cons :
-Difficult to clean as blades are not removable.
-Extremely noisy
-Largest jar is of no use literally. As truly mentioned in many comments it can't even blend a soft banana properly, forget making juices or smoothies",
Sood,Not good in grinding,1.0 out of 5 stars,"Reviewed in India on January 18, 2022",Verified Purchase,"1. The size of all jars are small in comparison to other companies.
2. Middle jar chokes usually.
3. Not able to grind daal(pulses) for making pakode etc.
Overall not satisfied with this product.",
PRAWEEN KUMAR MURMU,Best for light domestic use.,4.0 out of 5 stars,"Reviewed in India on December 13, 2019",Verified Purchase,"Nothing special about this mixer and grinder .Low price and lower wattage.
Good for domestic use.For heavy use it is better to go for higher wattage.",One person found this helpful
Vik,Not a long lasting product,1.0 out of 5 stars,"Reviewed in India on November 5, 2019",Verified Purchase,"Just after 1 year, motor got damaged and when sent for repair i came to know it was burnt. Just wondering whether quality of bajaj has come down or a duplicate equipment in name of bajaj was sold to me.
Complete waste of money.",One person found this helpful
medha,Average,3.0 out of 5 stars,"Reviewed in India on May 18, 2020",Verified Purchase,"Nice product overall. ..but highest level of noise...except small jar others cant b used for fine powdering...need to hold it while it grinds , cant remove hand from top while functioning.",
Mallik,Good one for home,4.0 out of 5 stars,"Reviewed in India on January 28, 2021",Verified Purchase,,
Animesh,Nice product but not original.,1.0 out of 5 stars,"Reviewed in India on October 23, 2020",Verified Purchase,The product I got is not original. Bajaj Rex 500 original logo is missing. Spoon is missing.small jar is already broken non functional. Not rotating. So I immediately return it.,One person found this helpful
Chander Kararia (Kindle Customer),Best with this price range,3.0 out of 5 stars,"Reviewed in India on May 15, 2019",Verified Purchase,"I have been using this product for a while now. So here is my review
Pros:
1. Less Price
2. Durable
3. Easy to handle
4. Built quality

Cons:
1. Sound (its too loud)
2. Jars fixing is ok.",One person found this helpful
AmazonCustomer,Good one but jars thickness could have been better,3.0 out of 5 stars,"Reviewed in India on January 17, 2021",Verified Purchase,Received product undamaged and no missing parts. All 3 jars looks fine and works fine. But quality of steel seems not that good and very thin.,
Kindle Customer,Please do not waste your money on this product!!!!,1.0 out of 5 stars,"Reviewed in India on November 30, 2019",Verified Purchase,"Worst product bought online till date.
Right from the first use:-
Blades are not sharp, hence doesn't grind fine.
Too noisy because, jar doesn't sit properly on the machine.
I do not recommend buying of this product as it's just waste of money.",One person found this helpful
Vishal,Worthless product,1.0 out of 5 stars,"Reviewed in India on September 8, 2020",Verified Purchase,"I bought this Mixer grinder from bajaj in the month of March, after just 6 months of normal functioning, yesterday all of sudden it stopped to functioning. I have very unpleasant experience of selecting this product for daily use,  nothing more to say.",
Aniket Goel,Excellent Service Provided,5.0 out of 5 stars,"Reviewed in India on April 13, 2021",Verified Purchase,"Giving a full review rating because of the fact that there was a mechanical fault in the knob after 8 months of use, I logged a complaint on toll free number of bajaj, they got it fixed under warranty within 6 hours. What a relief.",
Gokulnath AD,Easy and Super grinding,5.0 out of 5 stars,"Reviewed in India on July 7, 2021",Verified Purchase,Purchased without Juicer since we don't use it much for long time.. Very nice and easy to handle and performance also good,
Aditi Juneja,Everything good but broken one lid,3.0 out of 5 stars,"Reviewed in India on February 3, 2022",Verified Purchase,Everything is ok...but one of the lid is broken..very disappointing..coz have to give it to someone..and replacing is taking a lot of time...so have to keep it...,
Rehan,Best in the market,5.0 out of 5 stars,"Reviewed in India on November 28, 2020",Verified Purchase,"I bought two mixers before..but no one had that much perfect grinding..
This one is best product,but a little bit noisy
Over all best mixee in this range..",
Maria Frenny,Cheap quality of steel and plastic holder,2.0 out of 5 stars,"Reviewed in India on April 16, 2021",Verified Purchase,"The quality is very poor. For the very first time I got a duplicate product from Amazon.
Why is this Amazon's choice? Not worth it.. quality of the steel and the plastic holder is very bad.. definitely bajaj wouldn't manufactur such a bad quality product. Don't know if I can rely on ""Amazons choice"" to buy any product anymore.",
manish sharma,Worth Price with few cons,4.0 out of 5 stars,"Reviewed in India on January 23, 2021",Verified Purchase,"I've been using it for a month now and the problem that i faced is that chutney jar is small and and if you fill it upto lid and try to grind it, lid opens up by the pressure even if you're covering the lid by your hands. So don't fill your chutney jar upto lid.",
Sayantani Mukherjee,Your friend in the kitchen,4.0 out of 5 stars,"Reviewed in India on January 31, 2019",Verified Purchase,"I was a bit sceptical of buying the mixer grinder online but thanks to amazon it was delivered in perfecf condition. There are 3 jars. The motor is perfect and grinds even pulses in minutes. However, I would have liked better if the jars had transparent lids.",
Shaina,I like it,4.0 out of 5 stars,"Reviewed in India on April 12, 2021",Verified Purchase,,
AM,Disappointed! Don't trust the star ratings on the product.,1.0 out of 5 stars,"Reviewed in India on July 25, 2020",Verified Purchase,"I had a 25 years old Jaipan mixture which was still working but we bought this to get an upgrade. Unfortunately, it turned out to be a downgrade for us. Our old mixture was much better than this one. Atleast it did the job. The blades are blunt, can't even blend an apple. Very disappointed. I am surprised how did it get such a good star rating.",
Jay,Cheap only for basic purpose,3.0 out of 5 stars,"Reviewed in India on June 20, 2022",Verified Purchase,"The starting price this mixer comes at is fine, but you will not like its quality after long usage.Spend a little money and go for good quality.",
Parshant Chopra,Good product.,5.0 out of 5 stars,"Reviewed in India on August 3, 2020",Verified Purchase,Its a nice product by bajaj. Lookwise it is less attractive than others but it is dependable.500watt is enough for crushing almonds etc.So you can go for it without any doubt.,
Abhinav P.,Below then average,2.0 out of 5 stars,"Reviewed in India on November 15, 2019",Verified Purchase,"After Going through the product, Below points i observed:-
1. Jar Quality and blades are not good even below then average, could be better.
2. Plastic quality is also not good, didn't seems to be long runner, although design and space consumption is good.
3. i think liquid jar is not capable of breaking the ice cubes to crush for shakes.",
Manglesh shimla,Highly recommended,5.0 out of 5 stars,"Reviewed in India on June 20, 2021",Verified Purchase,At this price it beats my philip mixer. As it is 500 watt but it take same time to complete work 750watts other mixer. Highly recommended to all.,
FYM,Good product with a couple of cons,5.0 out of 5 stars,"Reviewed in India on January 29, 2021",Verified Purchase,The product is good .. as expected from Bajaj. Noise level is a bit high. There is no lock feature - I could turn the mixie on even without any jar in place.,
nikhil,Noisy and poor lids but works,5.0 out of 5 stars,"Reviewed in India on January 8, 2022",Verified Purchase,"Noisy
When you blend liquids, it could easily open it's lid and give you a mess to clean",
nimish agarwal,Acceptable performance.... high noise,3.0 out of 5 stars,"Reviewed in India on July 27, 2020",Verified Purchase,"Noise is too much to handle. performance is also not up to expectations.  I will not suggest for this mixer, instead try another one. I was about to return the product but  missed the return deadline.",
Sumit tiwari,Mixer,3.0 out of 5 stars,"Reviewed in India on January 10, 2021",Verified Purchase,Bajaj mixer grinder quality was good and their jar quality was also good 3 jar available with this Bajaj mixer grinder. But cost is too much...,
Amazon Customer,Broken piece received,1.0 out of 5 stars,"Reviewed in India on November 1, 2020",Verified Purchase,I have received broken piece. I have never expected the same from Bajaj and Amazn. They should always check product before packaging. Broken piece can be easily pointed out. Now I will have to replace the product but it wasted my time.,
Santhosh,Disappointed,3.0 out of 5 stars,"Reviewed in India on January 31, 2022",Verified Purchase,First time the order was sent with a broken wire. We have returned it. Now again it was sent with broken part for the small jar. Very disappointed.,
P Saha,Good Product,5.0 out of 5 stars,"Reviewed in India on December 14, 2020",Verified Purchase,A very good product..Just Go for it..A bit Burning Smell will come in the beginning but it's not a technical default..A very good product at a much reasonable price..,
MONADITYA,Ordinary kind of product,3.0 out of 5 stars,"Reviewed in India on October 16, 2019",Verified Purchase,"Ordinary kind of product.
High noise level speaks about its quality.
The minching blade functions poorly. It can't even make good onion paste.",One person found this helpful
Somesh Pandey,"Cheap, simple and reliable.",4.0 out of 5 stars,"Reviewed in India on February 4, 2022",Verified Purchase,"Great product from a well known brand for cheap price, delivery was also very fast.",
Ritu,It was good product but I received broken Lidlid,3.0 out of 5 stars,"Reviewed in India on February 13, 2022",Verified Purchase,It was ok ok product I got broken lid  but it was for my maid so kept it,
Lakhan Panwar,"One Jar is broken, Replace",1.0 out of 5 stars,"Reviewed in India on July 17, 2020",Verified Purchase,"Got Broken Jar, I got the package I opened it and checked mixer working with one Biggest Jar, did not check all of the Jar's below plastic gear.

Today we wanted to use mixer for spices, when i checked for smaller Jar base plastic gear is broken.
I want replacement for this, please help.",
Suman Dey7,Good in this budget,4.0 out of 5 stars,"Reviewed in India on August 14, 2020",Verified Purchase,"afyer using it for 1 year i must say this is good mixer grinder in this budget, i got this for 1699rs.
cons are it cannot totally grind various type daals except masur because masur is soft as compared to other daals",One person found this helpful
Ajeet K.,poor quality and very bad service,1.0 out of 5 stars,"Reviewed in India on August 31, 2020",Verified Purchase,"Small Jar stopped in three months, poor quality of this product. it is saying that one year warranty but within three month when i raised request for fixing Jar, then after two week got response saying that warranty for Jar is only three month. now you can understand what is quality and service and commitment on warranty.",
sanjeev kumar pandit,Product is defactive after 1month,1.0 out of 5 stars,"Reviewed in India on April 29, 2021",Verified Purchase,"I have purchase this last month ,after one month it is not working ,I suggest you don't purchase Bajaj mixer",
Augustine,Too much noise,4.0 out of 5 stars,"Reviewed in India on June 19, 2020",Verified Purchase,Bajaj a household name. The rex mixer grinder had good looks. The noise is on the higher side and it's a lot more than the other mixers in that range.,
BASANT KUMAR PRADHAN,Damaged after used 1st time.,1.0 out of 5 stars,"Reviewed in India on July 11, 2022",Verified Purchase,Im truly speaking  Product not good and when start 1st time damaged the mixer grinder plastic parts.,
Nikhil,Good product for this price,4.0 out of 5 stars,"Reviewed in India on July 28, 2021",Verified Purchase,"Good product for this cost.
Compact size is advantageous for storage.
Have used only for usual grinding use like dry spices, ginger garlic, onion etc.",
Parth Mitra,Good,4.0 out of 5 stars,"Reviewed in India on January 31, 2021",Verified Purchase,"After one week of use some screws came out and I was little disappointed!
I called the bajaj customer care and within a day's time the service person came and repaired it for free. Now, I am using it for almost 5 months, it's running perfectly fine. Just remember the long jar doesnt work for grinding.",
Rakesh t.,Missing items,2.0 out of 5 stars,"Reviewed in India on January 9, 2022",Verified Purchase,"Whole product is nice , but plastic knife was missing in this , and packaging was worse , worn box",
Suhas khatke,Mixure,5.0 out of 5 stars,"Reviewed in India on November 23, 2020",Verified Purchase,Oh my god very nice mixure grinder👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,
Bharat,bad product,1.0 out of 5 stars,"Reviewed in India on November 16, 2020",Verified Purchase,i Received damage and third class product... quality of the steel is very thin.. and locks are also very soft quality... amazon delivery agents are also vvery care less they. should take care if the product can be damagible.,
Amazon Customer,Noisy mixer,3.0 out of 5 stars,"Reviewed in India on July 10, 2020",Verified Purchase,Very disapointed in the piece I received. This particular piece was extremely noisy. We have been using a Bajaj mixer for over 10 years - that old mixer was much quieter.,
Shamanth,Small and light weight,5.0 out of 5 stars,"Reviewed in India on December 31, 2021",Verified Purchase,"Pros : looks gud.. light weight.. easy to clean.
Cons: Sound is loud..",
MD.Ahamadi,Delicate mixer grinder.mixer is running very shaking...,3.0 out of 5 stars,"Reviewed in India on September 27, 2021",Verified Purchase,Small jar is not working properly.very delicate mixer grinder. and mixy is shaking.first time iam taking bad product in Amazon.. mostly taken items is good.but this mixer grinder is very bad experience in my life....,
akarsh a.,Bad build quality not recommend,2.0 out of 5 stars,"Reviewed in India on June 4, 2021",Verified Purchase,First of all the packaging is the worst that I have seen in many years it's like buying from a fake site also the product is poorly constructed the quality is just cheap not Bajaj standard so a big disappointment from bajaj .. I will not recommend this product at all.,
Tshering Dukpa,Overall a perfect mixer grinder!,5.0 out of 5 stars,"Reviewed in India on March 10, 2022",Verified Purchase,"Awesome product, love ❤ it. Go for it without any hesitation!!",
HARI VENU,Mixer grinder working good but jar's quality not good,2.0 out of 5 stars,"Reviewed in India on June 17, 2020",Verified Purchase,After 3 months one jar leaked water also the blade are stop rotating. Not expected from Bajaj product.,One person found this helpful
