Name,Title,aiconalt,View,State,View1,asizebase
Sumit,Nice kitchen applances......,5.0 out of 5 stars,"Reviewed in India on March 15, 2019",Verified Purchase,"Motor RPM is so good therefore you can use this product continuously...... Blade is so good that's why it will grind or mixing very fast... Product weight is also not so heavy, hence you can easily carry... very important thing is main power cable which is made from good quality and also it is so long .... it comes with 3 jar. You can use for mixing. grinding and juicing purpose....",8 people found this helpful
Felix,My mom's 5 years experience!,2.0 out of 5 stars,"Reviewed in India on July 28, 2020",Verified Purchase,"I am writing this review after 5 year's of usage. Product is not sturdy. Lots of leaks while grinding. You must be holding it tight always. The rubber gasket is of poor quality. Material is not upto the mark. Since this is only 500Watts, it doesn't grind smoothly. There are hard pieces left over and while grinding auto rickshaws noise is definitely available. Too loud.",4 people found this helpful
vijay Mishra,Quality of the product is not up to mark. ...,1.0 out of 5 stars,"Reviewed in India on July 16, 2017",Verified Purchase,Quality of  the product is not up to mark. Mixer jamed with first use. Returned immediately. Thanks Amazon for quick response.,28 people found this helpful
subham samantray,It is apt for rare use,3.0 out of 5 stars,"Reviewed in India on June 26, 2021",Verified Purchase,"So all in all it is completely apt for bachelors, who do rare use of grinder. What I feel it is not ideal for family use, as we need frequent use it. Below are some points that need to be considered before buying it.
1. 1st and most important, very noisy, can't be tolerated for long period of time.
2. Jar lids are not good enough for the speed, you will have put your hand on it while grinding or else it ll just throw it out.
3. It is getting heated very quickly and untouchable rather after 2/3 minutes of action.

So these are the main issues that I could able to find out in 3months of use and hope it stays this much only.

Apart from this good things about this mixer are
Affordable, vaccum rubber stand",2 people found this helpful
Lisa,Worst quality,1.0 out of 5 stars,"Reviewed in India on February 8, 2019",Verified Purchase,"Even after grinding for 45 mins a simple daily coconut gravy doesn't get grind finely... The blades are small and not sharp
Wastes too much time. Mixer is good .. But jars are of no use...",10 people found this helpful
Roli Pal,Nice product!,4.0 out of 5 stars,"Reviewed in India on May 31, 2018",Verified Purchase,"Using it for the past 6 months and it works great without any problems.
The container blades are quite strong and can mix even the hard food items easily like dry fruits/grains etc.
Overall the product is quite sturdy and aesthetic too.",14 people found this helpful
R,Perfect,5.0 out of 5 stars,"Reviewed in India on June 19, 2021",Verified Purchase,"It's a good machine.
It was received in good condition without any breakages or flaws as I saw in numerous reviews hence was a little skeptical, but nothing of the sought happened.
However it falls behind on the following pointers:
1. You cannot make the batter for idlis and dosa since it cannot be run for a longer duration, reason being of low wattage of 500 watts. The cutoff switch at the base gets activated and the machine stops . Then I had to switch over to my old Sujata powermatic which is of 900watts and can be run for a longer duration.
2. Sound made on using the machine is much higher, but that's not an issue if it does its work well.
However I loved the mixer grinder as it makes milkshakes, smoothies chutneys and small portions of grinding Dal for dahi vadas and kachories and fresh masalas on a regular basis.",
Asha L Moorthy,"Small good, medium and large useless",4.0 out of 5 stars,"Reviewed in India on May 16, 2019",Verified Purchase,"The medium and large jars are pretty much useless when it come to grinding anything.. For making gravy, etc., you can use only the small chutney jar, which I have to say, grinds beautifully.. Months after I bought this, mom gave me a spare 4 side blade of hers, which I used on the large jar, and it works beautifully! I really wish I had received such a useful blade in the medium or large jars, instead of the completely useless ones i received with this order",5 people found this helpful
Arpita Ganguli,Good Kitchen Appliance at This Price,5.0 out of 5 stars,"Reviewed in India on August 15, 2021",Verified Purchase,"I chose this product mainly because the Bajaj brand name has been a trusted one for a long time. I am highly satisfied with this product. It gets the work done. I use it mainly to grind spices, mix ingredients for cakes and bread, pulp coriander leaves, etc.

Yes, it is a noisy appliance - but I guess that's because of the powerful 500 Watt motor. When it is in operation one can't hear anything on one's phone or on the television. Yup, it's that loud!

As far as looks are concerned, the design is quite basic... no great shakes. But I would prefer a durable hard-working appliance over a less efficient but pretty looking one any day.

I have been using this Mixer-Grinder for the past six months or so, almost on a daily basis, and it's working fine. No problems.",
Amazon Customer,Not efficient. very noisy. worst experience.,1.0 out of 5 stars,"Reviewed in India on September 8, 2019",Verified Purchase,"I am writing this comment after using this mixer more than 3 months and I'll not recommend this to others. I am very surprised how did this product get 4+ ratings.
Smallest jar only can cut the material. Bigger jars are not able chop banana itself and can be used only for mixing purpose. Every time two jars need to be used. Smaller for chopping and bigger for mixing.
It is like a 20 years old car which makes lot of noise but can not produce power.
Please note these anomalies are not piece specific. This seems to be a design issue.",6 people found this helpful
pratik sherlekar,Good product but worst delivery,5.0 out of 5 stars,"Reviewed in India on October 13, 2021",Verified Purchase,No issues with the product... the delivery of this product was at its worst!! The delivery guys asked me to come 3 to 4kms away from the house for his convenience saying that he won't be able to come and if I don't go to pick it up he will return the product. Not at all expected this from Amazon delivery. Much disappointed!!,2 people found this helpful
Victor,Best Mixer Grinder for Rs. 1799,5.0 out of 5 stars,"Reviewed in India on October 31, 2020",Verified Purchase,"It's a quality product for Rs. 1799. The design, plastic material, jars, fittings, rubber, everything is 100% perfect. I am extremely pleased.

Earlier, I bought another mixer from Lifelong for Rs. 1100 3-4 days back but returned it as I didn't like the quality of the product. Hence, I went with Bajaj because of the brand. I am happy that Bajaj stood true to their brand. They have a superior quality.

If you have the lowest budget for a mixer grinder, Bajaj Rex is the best in it's class. It's worth the extra Rs. 700 than a nonbranded product.",
Nano,Awesome mixer grinder!,5.0 out of 5 stars,"Reviewed in India on June 19, 2020",Verified Purchase,"It's a really good mixer grinder! Locking feature is easy, it's easy to clean and takes up less space on the kitchen counter. The motor works perfectly. 👌 It is a bit noisy but that doesn't really matter for me, the output does. Now all my mixing, grinding and chutney making needs are being met easily with it. 😊 If you are looking for a cost-effective and well functioning mixer grinder, go for this.",2 people found this helpful
Kishor Kumar K,Received Bad Quality from Bajaj,1.0 out of 5 stars,"Reviewed in India on January 3, 2019",Verified Purchase,"Received Package in Good Condition, but hearing abnormal sound when removed the Grinder from Package - some loose or damaged part inside the Grinder
Never expected from Bajaj such a poor Quality Product.",9 people found this helpful
pratik nazareth,Stopped working in the first use,1.0 out of 5 stars,"Reviewed in India on October 27, 2021",Verified Purchase,"Extremely pathetic as it stopped working in the first use, unfortunately I was away and used it after its 1p day replacement policy, but as soon as I tried to grind masala in it, it stopped working. Thought it was over loaded but I had not more than 100 grams of masala in it. I have been using other mixers with masala more than this at same wattage. This couldn't take even that much and gave up. I would suggest to go for some other mixer as this doesn't have the strength. Plus the body of the mixer also is made of cheap plastic. Opt for instore mixers rather than online ones.",
Mr. Kay,Great! Works just fine! No problems at all,4.0 out of 5 stars,"Reviewed in India on July 11, 2020",Verified Purchase,"Ok so i have been using this for almost 2 months now. So here’s my review.

Trusted brand, good build quality, looks just like in the pictures (hence i am not putting any)

All jars work beautifully..all do their job..grinding, mixing.. everything is done well. Not too noisy, doesn’t vibrate too much.
Lid fits just fine, you don’t need to hold it down while running.
Easy to clean. price is adequate too.
Overall a great buy! Go for it",One person found this helpful
geniezlife,"Average product, can look at other options",3.0 out of 5 stars,"Reviewed in India on September 18, 2019",Verified Purchase,"Bought in April 2018, so reviewing it after nearly 1.5 years of use.

What I liked:
- Blades are sharp and very effective. Nothing to complain about even after 1.5 years of regular use
- Compact and occupies less space on the kitchen counter
- Elegant looks and aesthetics at a reasonable price
- Stays planted on the counter with its anti-skid grip on the base

What I hated:
- Of the 3 jars, one jar cracked after less than 6 months of use
- The plastic part at the base of another broke after 1.5 years, so left with only one usable jar (and to my bad luck, it is the smallest jar)
- Noise level is uncomfortable on the ear. Not sure if any other mixer in this price range is much quieter though

Overall:
- If it lasts, it works great. However, longevity is not something I will expect from this product
- Satisfied but not thrilled. If I had to purchase a new product around this price point, I would look at other options",One person found this helpful
Subhankar Dey,Great Mixer Grinder for the price!,4.0 out of 5 stars,"Reviewed in India on January 19, 2019",Verified Purchase,"I have been using this product for a few months now. When I was on the lookout for a mixer grinder, I browsed many mixer grinders before making this my final choice. First things first, there are way better mixer grinders than this one, but this mixer grinder is the best in this price range.

The mixer grinder comes in a good package and the material quality is great. It's easy to clean and after using it some months I can confirm it's very durable. Fast grinding speed, and power consumption is moderate (better than other ones in the range).

One thing that came to my notice is the sound of this thing. It's a bit loud, but you can't complain considering the price. This won't be a big factor, and I think you should definitely go this awesome product.",One person found this helpful
Siva,Only 6 months running after repair theories no warranty on ...,1.0 out of 5 stars,"Reviewed in India on December 23, 2017",Verified Purchase,Only 6 months running after repair theories no warranty on this product display is 1 year warranty but no warranty,18 people found this helpful
SANJAY MISHRA,Good mixer. Does the work efficiently.,5.0 out of 5 stars,"Reviewed in India on November 30, 2021",Verified Purchase,I am writing this review almost after using this grinder for 3-4 months. Overall the mixer grinder is very nice. Small jar is good for grinding in small amount. It's best for dry grinding. If making chutney make sur the jar is half loaded or else it will spill. Follow instructions. Do not grind more than 1 min then 3 min rest then again 1 min grinding. It's not at all time taking. 1 min of grinding does the work satisfactorily. Do not wet wash the motor more often. Till date I have washed the base under water only thrice and it's working very well. Do not frequently remove the cover rubber gasket orelse it will become loose and eventually break.,
Vish,Poor quality,1.0 out of 5 stars,"Reviewed in India on May 24, 2021",Verified Purchase,"One jug came broken from down, noise level is massive l, everything spills out, quality is very poor was using inalsa before this thought id buy bajaj being an old known brand m, very disappointed",2 people found this helpful
Sheikh Moinul Islam,Original or a duplicate product as there is change in logo and hologram !,2.0 out of 5 stars,"Reviewed in India on July 28, 2020",Verified Purchase,"I am unable to understand one thing which I want to know from Amazon,in the Amazon website when I saw the product the hologram or the logo of Bajaj is shown in blue and red colour sticker as well Rex 500 is also mentioned in the motor of the Mixer Grinder in blue colour,but the mixer which I had received is completely different where the hologram and logo of Bajaj is mentioned in Black and White.

Am unable to understand,have you delivered me a duplicate product please look into this issue very seriously.

Need an appropriate answer to my question please !",One person found this helpful
abhishek s.,Don't buy this mixer by only trusting BAJAJ. Read full review for detail.,1.0 out of 5 stars,"Reviewed in India on August 16, 2021",Verified Purchase,"I purchased this mixer by thinking brand name of BAJAJ and ofcourse overrating of 4. I doubt that it is used before because of the black scratches on the inner parts of the mixer and blades of the mixer. Though, the smallest jar is good at grinding raw masalas. But its middle one and bigger jars are of no use. because even it can not chop two bananas and apple added with enough milk even after grinding it upto 7 minutes. The noise level of mixer is too high. But grinding capacity is too low. Thought to return and buy some other good brand's mixer but no option left as only replacement is possible. So, I suggest dont buy this by seeing its overrating and BAJAJ brand name. You will regret as me.",
Raji,Good product,4.0 out of 5 stars,"Reviewed in India on October 4, 2020",Verified Purchase,"I have been using this recently and have had no problem with it so far. If one takes the usual care it works well. That is, we should not to overload the jar or run it for  a long time without a break. It's better to stop every five minutes or so.",2 people found this helpful
